Ontology ID,IFSAC Label,Bucket,,,,,Ontology ID,IFSAC Label,Bucket,,IFSAC Label,,,,,,
FOODON_00001803,Sub-tropical Fruit,date food product,,,,,FOODON_00001803,Sub-tropical Fruit,date food product,FOODON_00002303,Sub-tropical Fruit,,,,,,
FOODON_00001851,Sub-tropical Fruit,fig food product,,,,,FOODON_00001851,Sub-tropical Fruit,fig food product,FOODON_03412114,Sub-tropical Fruit,,,,,,
FOODON_00002006,Sub-tropical Fruit,lychee food product,,,,,FOODON_00002006,Sub-tropical Fruit,lychee food product,FOODON_03309997,Sub-tropical Fruit,,,,,,
FOODON_03411447,Sub-tropical Fruit,persimmon plant (food source),,,,,FOODON_03411447,Sub-tropical Fruit,persimmon plant (food source),NCBITaxon_9823 ,Sub-tropical Fruit,,,,,,
FOODON_03411162,Sub-tropical Fruit,pomegranate plant (food source),,,,,FOODON_03411162,Sub-tropical Fruit,pomegranate plant (food source),FOODON_03306867,Sub-tropical Fruit,,,,,,
FOODON_03315395,Grains,flour product,,,,,FOODON_03315395,Flour-based Products ,flour product,FOODON_00001175 ,Flour-based Products ,,,,,,
FOODON_00002153,Plant Seeds,plant seed vegetable food product,,,,,FOODON_00002153,Plant Seeds,plant seed vegetable food product,,Plant Seeds,,,,,,
FOODON_00001709,Grains,cereal food product,,,,,FOODON_00001709,Grains,cereal food product,,Grains,,,,,,
FOODON_00001175 ,Vegetable Row Crops Flower,plant stem food product,,,,,FOODON_00001175 ,Vegetable Row Crops Flower,plant stem food product,,Vegetable Row Crops Flower,,,,,,
FOODON_00002099,Nuts,peanut food product,,,,,FOODON_00002099,Nuts,peanut food product,,Nuts,,,,,,
FOODON_00001709,Grains,cereal food product,,,,,FOODON_00001709,Grains,cereal food product,,Grains,,,,,,
FOODON_00001185,Grains,rice food product,,,,,FOODON_00001185,Grains,rice food product,,Grains,,,,,,
FOODON_00001132 ,Pork,swine meat food product,,,,,FOODON_00001132 ,Pork,swine meat food product,,Pork,,,,,,
FOODON_03412114,Crustaceans,snail food source,,,,,FOODON_03412114,Crustaceans,snail food source,,Crustaceans,,,,,,
FOODON_03306867,Nuts,peanut butter,,,,,FOODON_03306867,Nuts,peanut butter,,Nuts,,,,,,
FOODON_03414374,Cow,bovine (food source),,,,,FOODON_03414374,Beef,bovine (food source),,Beef,,,,,,
FOODON_03411201,Cow,cow (food source),,,,,FOODON_03411201,Beef,cow (food source),,Beef,,,,,,
FOODON_00001765,Seeded Vegetable (Other),corn (vegetable) food product,,,,,FOODON_00001765,Seeded Vegetable (Other),corn (vegetable) food product,,Seeded vegetable (other),,,,NCBITaxon_9913,Cow,Bos taurus
FOODON_03411335,Crustaceans,crab (food source),,,,,FOODON_03411335,Crustacean,crab (food source),,Crustacean,,,,,,
FOODON_00002448,Seeded Vegetable (Vine Grown),zucchini food product,,,,,FOODON_00002448,Seeded Vegetable (Vine Grown),zucchini food product,,Seeded Vegetable (vine grown),,,,,,
FOODON_00002143  ,Vegetable Row Crop Leafy,plant leaf vegetable food product,,,,,FOODON_00002143  ,Vegetable Row Crop (leafy),plant leaf vegetable food product,,Vegetable Row Crop (leafy),,,,,,
FOODON_00002156,vegetable row crops (stem),plant stem or spear vegetable food product,,,,,FOODON_00002156,Stem Vegetable,plant stem or spear vegetable food product,,Stem Vegetable,,,,,,
NCBITaxon_9823,Pig,: sus scrofa,,,,,NCBITaxon_9823,Pork,: sus scrofa,,Pork,,,,,,
FOODON_03309997,Animal Feed,,,,,,FOODON_03309997,Animal Feed,,,Animal Feed,,,,,,
FOODON_03411136,Pig,swine (food source),,,,,FOODON_03411136,Pork,swine (food source),FOODON_03411374,Pork,,,,,,
FOODON_00001134,Beef,bovine meat food product,,,,,FOODON_00001134,Beef,bovine meat food product,NCBITaxon_9823 ,Beef,,,,,,
FOODON_00001132,Pork,porcine meat food product,,,,,FOODON_00001132,Pork,porcine meat food product,FOODON_03309997,Pork,,,,,,
NCBITaxon_9031,Chicken,gallus gallus,,,,,NCBITaxon_9031,Chicken,gallus gallus,,Chicken,,,,,,
FOODON_03411183,Other Animals,sheep (food source),,,,,FOODON_03411183,Other Meats,sheep (food source),,Other Meats,,,,,,
FOODON_03420113,Dairy,milk or milk component,,,,,FOODON_03420113,Dairy,milk or milk component,,Dairy,,,,,,
FOODON_00001093 ,Grains,cereal grain food product,,,,,FOODON_00001093 ,Grains,cereal grain food product,,Grains,,,,,,
FOODON_03304497,Seeds,edible seed (food product),,,,,FOODON_03304497,Seeds,edible seed (food product),,Seeds,,,,,,
FOODON_00001917,Grains,grain based bakery food product,,,,,FOODON_00001917,Grains,grain based bakery food product,,Grains,,,,,,
FOODON_00002069 ,root/underground (bulbs),onion food product,,,,,FOODON_00002069 ,root/underground (bulbs),onion food product,,root/underground (bulbs),,,,,,
FOODON_00001895,root/underground (bulbs),garlic food product,,,,,FOODON_00001895,root/underground (bulbs),garlic food product,,root/underground (bulbs),,,,,,
FOODON_00001148,root/underground (tubers),potato food product,,,,,FOODON_00001148  ,root/underground (tubers),potato food product,,root/underground (tubers),,,,,,
FOODON_00001687,root/underground (roots),carrot food product,,,,,FOODON_00001687,Root Vegetables,carrot food product,,Root Vegetables,,,,,,
FOODON_00001638,root/underground (roots),beet food product,,,,,FOODON_00001638,Root Vegetables,beet food product,,Root Vegetables,,,,,,
