Term,Expansion,,Expansion,,Abbreviation,HP_0045077,abbreviation,,,,,,
wind instrument,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
windlass,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
wire cutters,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
wire strippers,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
wobbleboard,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
wooden spoon,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
woodwind,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
woofer,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
word processor,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
workhorse,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
wristwatch,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
Wurlitzer,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
xylophone,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
zester,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
zither,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
zoom lens,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
airing cupboard,Furniture,,Furniture,,,,,,,,,,
altar,Furniture,,Furniture,,,,,,,,,,
apple pie bed,Furniture,,Furniture,,,,,,,,,,
armchair,Furniture,,Furniture,,,,,,,,,,
armoire,Furniture,,Furniture,,,,,,,,,,
bassinet,Furniture,,Furniture,,,,,,,,,,
bath chair,Furniture,,Furniture,,,,,,,,,,
bedhead,Furniture,,Furniture,,,,,,,,,,
bedside table,Furniture,,Furniture,,,,,,,,,,
bookcase,Furniture,,Furniture,,,,,,,,,,
camp bed,Furniture,,Furniture,,,,,,,,,,
card table,Furniture,,Furniture,,,,,,,,,,
carrycot,Furniture,,Furniture,,,,,,,,,,
chairlift,Furniture,,Furniture,,,,,,,,,,
chest of drawers,Furniture,,Furniture,,,,,,,,,,
coffee table,Furniture,,Furniture,,,,,,,,,,
couchette,Furniture,,Furniture,,,,,,,,,,
countertop,Furniture,,Furniture,,,,,,,,,,
daybed,Furniture,,Furniture,,,,,,,,,,
deathbed,Furniture,,Furniture,,,,,,,,,,
deckchair,Furniture,,Furniture,,,,,,,,,,
dining table,Furniture,,Furniture,,,,,,,,,,
director's chair,Furniture,,Furniture,,,,,,,,,,
dressing table,Furniture,,Furniture,,,,,,,,,,
easy chair,Furniture,,Furniture,,,,,,,,,,
file cabinet,Furniture,,Furniture,,,,,,,,,,
filing cabinet,Furniture,,Furniture,,,,,,,,,,
fitment,Furniture,,Furniture,,,,,,,,,,
flat pack,Furniture,,Furniture,,,,,,,,,,
footstool,Furniture,,Furniture,,,,,,,,,,
four poster bed,Furniture,,Furniture,,,,,,,,,,
front desk,Furniture,,Furniture,,,,,,,,,,
furniture,Furniture,,Furniture,,,,,,,,,,
fuse box,Furniture,,Furniture,,,,,,,,,,
gateleg table,Furniture,,Furniture,,,,,,,,,,
hammock,Furniture,,Furniture,,,,,,,,,,
head table,Furniture,,Furniture,,,,,,,,,,
headrest,Furniture,,Furniture,,,,,,,,,,
high chair,Furniture,,Furniture,,,,,,,,,,
high table,Furniture,,Furniture,,,,,,,,,,
highboy,Furniture,,Furniture,,,,,,,,,,
lilo,Furniture,,Furniture,,,,,,,,,,
locker,Furniture,,Furniture,,,,,,,,,,
lounger,Furniture,,Furniture,,,,,,,,,,
nightstand,Furniture,,Furniture,,,,,,,,,,
occasional table,Furniture,,Furniture,,,,,,,,,,
operating table,Furniture,,Furniture,,,,,,,,,,
ottoman,Furniture,,Furniture,,,,,,,,,,
pay bed,Furniture,,Furniture,,,,,,,,,,
phone box,Furniture,,Furniture,,,,,,,,,,
recliner,Furniture,,Furniture,,,,,,,,,,
rocking chair,Furniture,,Furniture,,,,,,,,,,
roll top desk,Furniture,,Furniture,,,,,,,,,,
secretaire,Furniture,,Furniture,,,,,,,,,,
settle,Furniture,,Furniture,,,,,,,,,,
sickbed,Furniture,,Furniture,,,,,,,,,,
sofa,Furniture,,Furniture,,,,,,,,,,
sofa bed,Furniture,,Furniture,,,,,,,,,,
sunlounger,Furniture,,Furniture,,,,,,,,,,
tabletop,Furniture,,Furniture,,,,,,,,,,
tallboy,Furniture,,Furniture,,,,,,,,,,
tea trolley,Furniture,,Furniture,,,,,,,,,,
teacart,Furniture,,Furniture,,,,,,,,,,
telephone kiosk,Furniture,,Furniture,,,,,,,,,,
top table,Furniture,,Furniture,,,,,,,,,,
trestle table,Furniture,,Furniture,,,,,,,,,,
two seater,Furniture,,Furniture,,,,,,,,,,
washstand,Furniture,,Furniture,,,,,,,,,,
waterbed,Furniture,,Furniture,,,,,,,,,,
Welsh dresser,Furniture,,Furniture,,,,,,,,,,
wheelchair,Furniture,,Furniture,,,,,,,,,,
wickerwork,Furniture,,Furniture,,,,,,,,,,
wing chair,Furniture,,Furniture,,,,,,,,,,
workbench,Furniture,,Furniture,,,,,,,,,,
worktop,Furniture,,Furniture,,,,,,,,,,
Afghan,GeoEntity,,GeoEntity,,,,,,,,,,
african,GeoEntity,,GeoEntity,,,,,,,,,,
agra,GeoEntity,,GeoEntity,,,,,,,,,,
Albanian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Algerian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
amazona,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
american,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Andorran,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Angolan,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Antiguan and Barbudan,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Antipodes,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Arcadia,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
archdiocese,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Argentines,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Armenian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Aruban,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
asian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Australasia,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Australian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Austrian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Azerbaijani,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
badshah,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Bahamian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Bahraini,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Balkans,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Baltic German,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Baltic Russian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
banana republic,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Bangladeshi,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Barbadian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Basques,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Beacon Hill,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
bedroom community,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Belarusian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Belgian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Belizean,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Beninese,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Bermudian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Bhutanese,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Bible Belt,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Big Apple,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
big smoke,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
bikaneri,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Black Country,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
bloc,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Bolivian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
bombay,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
boom town,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
borough,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Bosniaks,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Bosnian and Herzegovinian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Botswana,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Brazilian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
breadbasket,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Bretons,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
British,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
British Virgin Islanders,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Bruneian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Bulgarian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
burg,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
burgh,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Burkinabés,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Burmese,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Burundian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
california,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Cambodian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Cameroonian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Canadian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
canton,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Cape Verdean,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
cardboard city,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Catalan,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Central America,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
ceylon,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Chadian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Chilean,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Chinatown,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
chinese,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
city state,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
client state,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
clime,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Colombian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Comorian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Confederate States,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Congolese,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Corn Belt,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Costa Rican,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Cotton Belt,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
county,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
county town,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Croatian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
crown colony,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Cuban,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
customs union,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Cypriots,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Czechs,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Danes,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Deep South,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
diocese,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Djiboutian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
dockland,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Dominican (Commonwealth),Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Dominican (Republic),Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
dormitory town,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
dorp,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Dutch,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
east indian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
East Timorese,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Ecuadorian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Egyptian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Emiratis,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
enclave,GeoEntity,,GeoEntity,,,,,,,,,,
English,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Equatoguinean,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Eritrean,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
eruv,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Estonian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Ethiopian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Euroland,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
european,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
europen,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Eurozone,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Falkland Islanders,GeoEntity,,GeoEntity,,,,,,,,,,
Far East,GeoEntity,,GeoEntity,,,,,,,,,,
Faroese,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
fatherland,GeoEntity,,GeoEntity,,,,,,,,,,
Fijian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Filipinos,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Finnish Swedish,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Finns,GeoEntity,,GeoEntity,,,,,,,,,,
First World,GeoEntity,,GeoEntity,,,,,,,,,,
French Canada,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
French citizens,GeoEntity,,GeoEntity,,,,,,,,,,
Gabonese,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Gaeltacht,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Gambian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
garden city,GeoEntity,,GeoEntity,,,,,,,,,,
georgia,GeoEntity,,GeoEntity,,,,,,,,,,
Georgian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
german,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Ghanaian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
ghost town,GeoEntity,,GeoEntity,,,,,,,,,,
Gibraltarian,GeoEntity,,GeoEntity,,,,,,,,,,
Gotham,GeoEntity,,GeoEntity,,,,,,,,,,
grand duchy,GeoEntity,,GeoEntity,,,,,,,,,,
Great Britain,GeoEntity,,GeoEntity,,,,,,,,,,
Greek Macedonian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Greeks,GeoEntity,,GeoEntity,,,,,,,,,,
Greenlanders,GeoEntity,,GeoEntity,,,,,,,,,,
Grenadian,GeoEntity,,GeoEntity,,,,,,,,,,
Gretna Green,GeoEntity,,GeoEntity,,,,,,,,,,
Guatemalan,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Guianese (French),Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Guinea Bissau nationals,GeoEntity,,GeoEntity,,,,,,,,,,
Guinean,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Guyanese,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Haitian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
hamlet,GeoEntity,,GeoEntity,,,,,,,,,,
hill station,GeoEntity,,GeoEntity,,,,,,,,,,
hinterland,GeoEntity,,GeoEntity,,,,,,,,,,
Hollywood,GeoEntity,,GeoEntity,,,,,,,,,,
Home Counties,GeoEntity,,GeoEntity,,,,,,,,,,
Honduran,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Hong Kongers,GeoEntity,,GeoEntity,,,,,,,,,,
Hungarian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
I Kiribati,GeoEntity,,GeoEntity,,,,,,,,,,
Icelanders,GeoEntity,,GeoEntity,,,,,,,,,,
indian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
indo,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Indonesian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Iranian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Iraqis,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Irish,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Israelis,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Israelite,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
italian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Ivoirian,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Jamaican,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
Japanese,Quality-Ethnic,,Quality-Ethnic,,,,,,,,,,
John o'Groats,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Jordanian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
karachi,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
kashmiri,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Kazakhs,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Kenyan,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Korean,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Kosovars,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Kuwaitis,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
kwangtung,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Kyrgyzs,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
lahori,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Lake Wauberg,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Land's End,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
lankan,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Lao,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Latin America,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Latvian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Lebanese,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Liberian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Libyan,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Liechtensteiners,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Lithuanian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
littoral,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Low Countries,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Luxembourgers,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Macao,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Macedonian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Macedonian Bulgarian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
madras,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
malabar,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Malagasy,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Malawian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Malaysian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Maldivian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Malian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Maltese,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
manatee spring,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Manx,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Marshallese,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Mauritanian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Mauritian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
megalopolis,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
metropolis,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Mexican,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Micronesian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Middle West,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Midlands,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
midtown,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Midwest,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Moldovan,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Monégasque,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Mongolian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Montenegrins,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Moroccan,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
most favoured nation,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
motherland,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Mozambican,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Namibian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Nauran,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
navratan,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Nepalese,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
new town,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
New World,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
New Zealanders,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Nicaraguan,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Nigerian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Nigeriens,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
nigrican,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
North America,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
north indian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Norwegian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Oconee ,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
old country,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Old World,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Omani,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
one horse town,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
outback,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
outskirts,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Oz,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Pacific Rim,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Pakistanis,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Palauan,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Palestinian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Panamanian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Papua New Guinean,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Paraguayan,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
pedestrian precinct,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Peoria,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
persian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Peruvian,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Poles,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
police state,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Portuguese,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
private sector,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
public sector,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
pueblo,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Puerto Rican,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
punjab,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
punjabi,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Qatari,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
Quebecers,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
red light district,Quality-Ethnic,Quality-Ethnic,Quality-Ethnic,,,,,,,,,,
