Term,Expansion,,Expansion,,Abbreviation,HP_0045077,abbreviation,,,,,,
craw,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
cuticle,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
dandruff,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
death's head,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
deltoids,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
dentures,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
dermis,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
digestive system,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
double chin,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
duff,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
duodenum,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
ear lobe,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
eardrum,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
effector,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
endoskeleton,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
entrails,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
epidermis,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
epiglottis,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
ermine,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
erythrocyte,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
esophagus,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
Eustachian tube,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
extensor,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
external ear,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
eyelash,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
eyelid,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
false rib,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
false teeth,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
fang,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
feather,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
femur,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
fibroid,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
fibula,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
first finger,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
fist,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
flab,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
flexor,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
floating rib,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
foot,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
forearm,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
forebrain,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
forefinger,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
forefoot,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
forehead,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
foreleg,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
foreskin,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
frenulum,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
frontal lobe,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
funny bone,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
gall bladder,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
gamete,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
gene,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
genitals,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
genome,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
genotype,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
gigot,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
gizzard,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
gland,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
glottis,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
glutes,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
gluteus,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
gnashers,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
goatee,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
goolie,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
gore,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
Grecian nose,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
gullet,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
