Synonym,Standard Term,Term Id,Synonyms Type
yellowbelly flounder,Rhombosolea leporina,NCBITaxon_1203427,Exact Synonym
New Zealand flounder,Rhombosolea plebeia,NCBITaxon_1203428,Exact Synonym
ruvo kale,Brassica rapa Broccoletto Group,NCBITaxon_1204434,Exact Synonym
rapini,Brassica rapa Broccoletto Group,NCBITaxon_1204434,Exact Synonym
broccoli raab,Brassica rapa Broccoletto Group,NCBITaxon_1204434,Exact Synonym
broccoletto,Brassica rapa Broccoletto Group,NCBITaxon_1204434,Exact Synonym
longnose duckbill,Bembrops anatirostris,NCBITaxon_1206913,Exact Synonym
duckbill flathead,Bembrops anatirostris,NCBITaxon_1206913,Exact Synonym
goby flathead,Bembrops gobioides,NCBITaxon_1206914,Exact Synonym
goby duckbill,Bembrops gobioides,NCBITaxon_1206914,Exact Synonym
mossy ark,Arca imbricata,NCBITaxon_121025,Exact Synonym
Rana,Rana <subgenus>,NCBITaxon_121175,Exact Synonym
violinfish,Rhinobatos rhinobatos,NCBITaxon_1213707,Exact Synonym
common guitarfish,Rhinobatos rhinobatos,NCBITaxon_1213707,Exact Synonym
silver linden,Tilia tomentosa,NCBITaxon_121718,Exact Synonym
silver lime,Tilia tomentosa,NCBITaxon_121718,Exact Synonym
Japanese barnyard millet,Echinochloa esculenta,NCBITaxon_121770,Exact Synonym
goose plum,Prunus americana,NCBITaxon_122118,Exact Synonym
American red plum,Prunus americana,NCBITaxon_122118,Exact Synonym
Chickasaw plum,Prunus angustifolia,NCBITaxon_122119,Exact Synonym
yellow catfish,Tachysurus fulvidraco,NCBITaxon_1234273,Exact Synonym
neem tree,Azadirachta indica,NCBITaxon_124943,Exact Synonym
neem,Azadirachta indica,NCBITaxon_124943,Exact Synonym
margosa,Azadirachta indica,NCBITaxon_124943,Exact Synonym
Indian-lilac,Azadirachta indica,NCBITaxon_124943,Exact Synonym
northern sand lance,Ammodytes dubius,NCBITaxon_1266862,Exact Synonym
northern kingfish,Menticirrhus saxatilis,NCBITaxon_1266879,Exact Synonym
muskellunge,Esox masquinongy,NCBITaxon_126735,Exact Synonym
gooseberry-tomato,Physalis peruviana,NCBITaxon_126903,Exact Synonym
goldenberry,Physalis peruviana,NCBITaxon_126903,Exact Synonym
Cape-gooseberry,Physalis peruviana,NCBITaxon_126903,Exact Synonym
speckled flounder,Paralichthys woolmani,NCBITaxon_1276502,Exact Synonym
dappled flounder,Paralichthys woolmani,NCBITaxon_1276502,Exact Synonym
Cunene horse mackerel,Trachurus trecae,NCBITaxon_127826,Exact Synonym
longan,Dimocarpus longan,NCBITaxon_128017,Exact Synonym
cinnamon,Cinnamomum verum,NCBITaxon_128608,Exact Synonym
Ceylon cinnamon,Cinnamomum verum,NCBITaxon_128608,Exact Synonym
zebra sole,Gymnachirus melas,NCBITaxon_1286125,Exact Synonym
naked sole,Gymnachirus melas,NCBITaxon_1286125,Exact Synonym
North American naked sole,Gymnachirus melas,NCBITaxon_1286125,Exact Synonym
red goatfish,Mullus auratus,NCBITaxon_1286129,Exact Synonym
garpike,Belone belone,NCBITaxon_129037,Exact Synonym
Pacific saury,Cololabis saira,NCBITaxon_129043,Exact Synonym
Atlantic saury,Scomberesox saurus,NCBITaxon_129061,Exact Synonym
Californian needlefish,Strongylura exilis,NCBITaxon_129062,Exact Synonym
Atlantic needlefish,Strongylura marina,NCBITaxon_129068,Exact Synonym
pawpaw,Asimina triloba,NCBITaxon_12953,Exact Synonym
Manila clam,Ruditapes philippinarum,NCBITaxon_129788,Exact Synonym
Japanese littleneck,Ruditapes philippinarum,NCBITaxon_129788,Exact Synonym
Western Pacific gizzard shad,Nematalosa come,NCBITaxon_1300979,Exact Synonym
sharptooth catfish,Clarias gariepinus,NCBITaxon_13013,Exact Synonym
North African catfish,Clarias gariepinus,NCBITaxon_13013,Exact Synonym
spotted weakfish,Cynoscion nebulosus,NCBITaxon_13029,Exact Synonym
spotted seatrout,Cynoscion nebulosus,NCBITaxon_13029,Exact Synonym
speckled trout,Cynoscion nebulosus,NCBITaxon_13029,Exact Synonym
silver carp,Hypophthalmichthys molitrix,NCBITaxon_13095,Exact Synonym
bluegill sunfish,Lepomis macrochirus,NCBITaxon_13106,Exact Synonym
bluegill,Lepomis macrochirus,NCBITaxon_13106,Exact Synonym
sand goby,Pomatoschistus minutus,NCBITaxon_13225,Exact Synonym
split-tongued squamates,Bifurcata,NCBITaxon_1329961,Exact Synonym
chokecherry,Prunus virginiana,NCBITaxon_133204,Exact Synonym
wahoo,Acanthocybium solandri,NCBITaxon_13323,Exact Synonym
soursop,Annona muricata,NCBITaxon_13337,Exact Synonym
prickly custard apple,Annona muricata,NCBITaxon_13337,Exact Synonym
guanabana,Annona muricata,NCBITaxon_13337,Exact Synonym
frigate tuna,Auxis thazard,NCBITaxon_13353,Exact Synonym
heather flower,Calluna vulgaris,NCBITaxon_13385,Exact Synonym
