Synonym,Standard Term,Term Id,Synonyms Type
blue mackerel,Scomber australasicus,NCBITaxon_29150,Exact Synonym
European smelt,Osmerus eperlanus,NCBITaxon_29151,Exact Synonym
Atlantic croaker,Micropogonias undulatus,NCBITaxon_29154,Exact Synonym
Mediterranean mussel,Mytilus galloprovincialis,NCBITaxon_29158,Exact Synonym
Pacific oyster,Crassostrea gigas,NCBITaxon_29159,Exact Synonym
queen conch,Strombus gigas,NCBITaxon_291982,Exact Synonym
pink conch,Strombus gigas,NCBITaxon_291982,Exact Synonym
pennyroyoal,Mentha pulegium,NCBITaxon_294739,Exact Synonym
Corsican mint,Mentha requienii,NCBITaxon_294740,Exact Synonym
emblic,Phyllanthus emblica,NCBITaxon_296036,Exact Synonym
amla,Phyllanthus emblica,NCBITaxon_296036,Exact Synonym
Indian-gooseberry,Phyllanthus emblica,NCBITaxon_296036,Exact Synonym
yellow yam,Dioscorea cayennensis,NCBITaxon_29710,Exact Synonym
yellow Guinea yam,Dioscorea cayennensis,NCBITaxon_29710,Exact Synonym
twelve-months yam,Dioscorea cayennensis,NCBITaxon_29710,Exact Synonym
Lagos yam,Dioscorea cayennensis,NCBITaxon_29710,Exact Synonym
spearmint,Mentha spicata,NCBITaxon_29719,Exact Synonym
tampala,Amaranthus tricolor,NCBITaxon_29722,Exact Synonym
Chinese spinach,Amaranthus tricolor,NCBITaxon_29722,Exact Synonym
garden rocket,Eruca vesicaria subsp. sativa,NCBITaxon_29727,Exact Synonym
arugula,Eruca vesicaria subsp. sativa,NCBITaxon_29727,Exact Synonym
wine grape,Vitis vinifera,NCBITaxon_29760,Exact Synonym
mango,Mangifera indica,NCBITaxon_29780,Exact Synonym
white-man's-foot,Plantago major,NCBITaxon_29818,Exact Synonym
common plantain,Plantago major,NCBITaxon_29818,Exact Synonym
cart-track plant,Plantago major,NCBITaxon_29818,Exact Synonym
Dungeness crab,Metacarcinus magister,NCBITaxon_29965,Exact Synonym
Chinese white-olive,Canarium album,NCBITaxon_300208,Exact Synonym
psyllids,Psyllidae,NCBITaxon_30092,Exact Synonym
jumping plantlice,Psyllidae,NCBITaxon_30092,Exact Synonym
sweetsop,Annona squamosa,NCBITaxon_301693,Exact Synonym
sugar-apple,Annona squamosa,NCBITaxon_301693,Exact Synonym
custard-apple,Annona squamosa,NCBITaxon_301693,Exact Synonym
ata,Annona squamosa,NCBITaxon_301693,Exact Synonym
pond-apple,Annona glabra,NCBITaxon_301703,Exact Synonym
palo boboInOwl,Annona glabra,NCBITaxon_301703,Exact Synonym
alligator-apple,Annona glabra,NCBITaxon_301703,Exact Synonym
maman,Annona reticulata,NCBITaxon_301862,Exact Synonym
bullock's-heart,Annona reticulata,NCBITaxon_301862,Exact Synonym
anona corazon,Annona reticulata,NCBITaxon_301862,Exact Synonym
yellowtail amberjack,Seriola lalandi,NCBITaxon_302047,Exact Synonym
bandtail puffer,Sphoeroides spengleri,NCBITaxon_303741,Exact Synonym
sand smelt,Atherina presbyter,NCBITaxon_303921,Exact Synonym
reef shark,Carcharhinus perezii,NCBITaxon_303935,Exact Synonym
Caribbean reef shark,Carcharhinus perezii,NCBITaxon_303935,Exact Synonym
night shark,Carcharhinus signatus,NCBITaxon_303943,Exact Synonym
sand devil,Squatina dumeril,NCBITaxon_303946,Exact Synonym
green algae,Chlorophyta,NCBITaxon_3041,Exact Synonym
Mexican groundcherry,Physalis philadelphica,NCBITaxon_304130,Exact Synonym
pygmy groundcherry,Physalis minima,NCBITaxon_304153,Exact Synonym
shearwaters and petrels,Procellariidae,NCBITaxon_30451,Exact Synonym
Northern fulmar,Fulmarus glacialis,NCBITaxon_30455,Exact Synonym
owls,Strigiformes,NCBITaxon_30458,Exact Synonym
hardnose skates,Rajidae,NCBITaxon_30475,Exact Synonym
ground sharks,Carcharhiniformes,NCBITaxon_30483,Exact Synonym
leopard shark,Triakis semifasciata,NCBITaxon_30493,Exact Synonym
sand tiger shark,Carcharias taurus,NCBITaxon_30501,Exact Synonym
dogfish sharks,Squalidae,NCBITaxon_30511,Exact Synonym
mithun,Bos frontalis,NCBITaxon_30520,Exact Synonym
gayal,Bos frontalis,NCBITaxon_30520,Exact Synonym
yak,Bos grunniens,NCBITaxon_30521,Exact Synonym
domestic yak,Bos grunniens,NCBITaxon_30521,Exact Synonym
fallow deer,Dama dama,NCBITaxon_30532,Exact Synonym
Texas fallow deers,Dama dama,NCBITaxon_30532,Exact Synonym
Texas fallow deer,Dama dama,NCBITaxon_30532,Exact Synonym
musk deer,Moschidae,NCBITaxon_30533,Exact Synonym
right whales,Balaenidae,NCBITaxon_30558,Exact Synonym
brownspotted grouper,Epinephelus chlorostigma,NCBITaxon_306578,Exact Synonym
brown spotted reef cod,Epinephelus chlorostigma,NCBITaxon_306578,Exact Synonym
wild custard-apple,Annona senegalensis,NCBITaxon_306945,Exact Synonym
California bay shrimp,Crangon franciscorum,NCBITaxon_307031,Exact Synonym
Pacific herring,Clupea pallasii,NCBITaxon_30724,Exact Synonym
morid cods,Moridae,NCBITaxon_30759,Exact Synonym
morid cod,Moridae,NCBITaxon_30759,Exact Synonym
rattails,Macrouridae,NCBITaxon_30761,Exact Synonym
grenadiers,Macrouridae,NCBITaxon_30761,Exact Synonym
grunts,Haemulidae,NCBITaxon_30840,Exact Synonym
bonnetmouths,Haemulidae,NCBITaxon_30840,Exact Synonym
sea chubs,Kyphosidae,NCBITaxon_30843,Exact Synonym
scavengers,Lethrinidae,NCBITaxon_30848,Exact Synonym
emperors,Lethrinidae,NCBITaxon_30848,Exact Synonym
snappers,Lutjanidae,NCBITaxon_30850,Exact Synonym
fusiliers,Lutjanidae,NCBITaxon_30850,Exact Synonym
tilefishes,Malacanthidae,NCBITaxon_30851,Exact Synonym
moonfishes,Monodactylidae,NCBITaxon_30853,Exact Synonym
fingerfishes,Monodactylidae,NCBITaxon_30853,Exact Synonym
goatfishes,Mullidae,NCBITaxon_30854,Exact Synonym
black sampson,Echinacea angustifolia,NCBITaxon_308558,Exact Synonym
Kansas snakeroot,Echinacea angustifolia,NCBITaxon_308558,Exact Synonym
angelfishes,Pomacanthidae,NCBITaxon_30862,Exact Synonym
bluefishes,Pomatomidae,NCBITaxon_30864,Exact Synonym
cobia,Rachycentridae,NCBITaxon_30867,Exact Synonym
drums,Sciaenidae,NCBITaxon_30870,Exact Synonym
croakers,Sciaenidae,NCBITaxon_30870,Exact Synonym
sea basses,Serranidae,NCBITaxon_30871,Exact Synonym
smelt-whitings,Sillaginidae,NCBITaxon_30874,Exact Synonym
tigerperches,Terapontidae,NCBITaxon_30875,Exact Synonym
grunters,Terapontidae,NCBITaxon_30875,Exact Synonym
snakeheads,Channidae,NCBITaxon_30910,Exact Synonym
threadfins,Polynemidae,NCBITaxon_30917,Exact Synonym
qiu zi li,Pyrus ussuriensis,NCBITaxon_309349,Exact Synonym
Harbin pear,Pyrus ussuriensis,NCBITaxon_309349,Exact Synonym
flathead sole,Hippoglossoides elassodon,NCBITaxon_30945,Exact Synonym
soles,Soleidae,NCBITaxon_30948,Exact Synonym
psettodids,Psettodidae,NCBITaxon_30949,Exact Synonym
mudminnows,Umbridae,NCBITaxon_30950,Exact Synonym
capelin,Mallotus villosus,NCBITaxon_30960,Exact Synonym
cutthroat trout,Oncorhynchus clarkii,NCBITaxon_30962,Exact Synonym
fatheads,Psychrolutidae,NCBITaxon_30976,Exact Synonym
fathead sculpins,Psychrolutidae,NCBITaxon_30976,Exact Synonym
greenlings,Hexagrammidae,NCBITaxon_30983,Exact Synonym
sablefishes,Anoplopomatidae,NCBITaxon_30988,Exact Synonym
sheatfishes,Siluridae,NCBITaxon_30989,Exact Synonym
giant catfish,Pangasianodon gigas,NCBITaxon_30993,Exact Synonym
Mekong giant catfish,Pangasianodon gigas,NCBITaxon_30993,Exact Synonym
schilbid catfishes,Schilbeidae,NCBITaxon_30996,Exact Synonym
schilbeid catfishes,Schilbeidae,NCBITaxon_30996,Exact Synonym
loweye catfishes,Pimelodidae,NCBITaxon_30998,Exact Synonym
long-wiskered catfishes,Pimelodidae,NCBITaxon_30998,Exact Synonym
airbreathing catfishes,Clariidae,NCBITaxon_31009,Exact Synonym
bagrid catfishes,Bagridae,NCBITaxon_31013,Exact Synonym
sea catfishes,Ariidae,NCBITaxon_31017,Exact Synonym
triggerfishes,Balistidae,NCBITaxon_31024,Exact Synonym
leatherjackets,Balistidae,NCBITaxon_31024,Exact Synonym
molas,Molidae,NCBITaxon_31029,Exact Synonym
puffers,Tetraodontidae,NCBITaxon_31031,Exact Synonym
puffer fishes,Tetraodontidae,NCBITaxon_31031,Exact Synonym
porcupinefishes,Diodontidae,NCBITaxon_31034,Exact Synonym
mooneyes,Hiodontidae,NCBITaxon_31090,Exact Synonym
striped catfish,Pangasianodon hypophthalmus,NCBITaxon_310915,Exact Synonym
iridescent shark-catfish,Pangasianodon hypophthalmus,NCBITaxon_310915,Exact Synonym
Thailand catfish,Pangasianodon hypophthalmus,NCBITaxon_310915,Exact Synonym
Sutchi catfish,Pangasianodon hypophthalmus,NCBITaxon_310915,Exact Synonym
oreos,Oreosomatidae,NCBITaxon_31101,Exact Synonym
dories,Zeidae,NCBITaxon_31103,Exact Synonym
sea lettuces,Ulva,NCBITaxon_3118,Exact Synonym
bay scallop,Argopecten irradians,NCBITaxon_31199,Exact Synonym
Rodents and rabbits,Glires,NCBITaxon_314147,Exact Synonym
blackfish,Centrolophus niger,NCBITaxon_316130,Exact Synonym
white warehou,Seriolella caerulea,NCBITaxon_316134,Exact Synonym
common warehou,Seriolella brama,NCBITaxon_316135,Exact Synonym
silver warehou,Seriolella punctata,NCBITaxon_316136,Exact Synonym
gizzard shads,Dorosomatinae,NCBITaxon_316161,Exact Synonym
yellow snapper,Lutjanus argentiventris,NCBITaxon_319431,Exact Synonym
basketweave cusk-eel,Ophidion scrippsae,NCBITaxon_319755,Exact Synonym
California flounder,Paralichthys californicus,NCBITaxon_319776,Exact Synonym
he yuan zi,Chaenomeles japonica,NCBITaxon_320146,Exact Synonym
flowering quince,Chaenomeles japonica,NCBITaxon_320146,Exact Synonym
shortfin weakfish,Cynoscion parvipinnis,NCBITaxon_320393,Exact Synonym
white croaker,Genyonemus lineatus,NCBITaxon_320395,Exact Synonym
California kingcroaker,Menticirrhus undulatus,NCBITaxon_320396,Exact Synonym
California corbina,Menticirrhus undulatus,NCBITaxon_320396,Exact Synonym
slender tuna,Allothunnus fallai,NCBITaxon_320457,Exact Synonym
bighead goby,Ponticola kessleri,NCBITaxon_320565,Exact Synonym
pointed gourd,Trichosanthes dioica,NCBITaxon_320667,Exact Synonym
palwal,Trichosanthes dioica,NCBITaxon_320667,Exact Synonym
Japanese Spanish mackerel,Scomberomorus niphonius,NCBITaxon_321164,Exact Synonym
pecan,Carya illinoinensis,NCBITaxon_32201,Exact Synonym
loquat,Eriobotrya japonica,NCBITaxon_32224,Exact Synonym
red raspberry,Rubus idaeus,NCBITaxon_32247,Exact Synonym
European raspberry,Rubus idaeus,NCBITaxon_32247,Exact Synonym
lesser yam,Dioscorea esculenta,NCBITaxon_323665,Exact Synonym
gan shu,Dioscorea esculenta,NCBITaxon_323665,Exact Synonym
Asiatic yam,Dioscorea esculenta,NCBITaxon_323665,Exact Synonym
teleost fishes,Teleostei,NCBITaxon_32443,Exact Synonym
clubmoss family,Lycopodiaceae,NCBITaxon_3250,Exact Synonym
tetrapods,Tetrapoda,NCBITaxon_32523,Exact Synonym
amniotes,Amniota,NCBITaxon_32524,Exact Synonym
Theria,Theria <Mammalia>,NCBITaxon_32525,Exact Synonym
diapsids,Sauria,NCBITaxon_32561,Exact Synonym
field horsetail,Equisetum arvense,NCBITaxon_3258,Exact Synonym
common horsetail,Equisetum arvense,NCBITaxon_3258,Exact Synonym
ostrich fern,Matteuccia struthiopteris,NCBITaxon_3277,Exact Synonym
royal fern,Osmunda regalis,NCBITaxon_3285,Exact Synonym
Mexican flounder,Cyclopsetta chittendeni,NCBITaxon_329465,Exact Synonym
cycads,Cycadopsida,NCBITaxon_3296,Exact Synonym
green plants,Viridiplantae,NCBITaxon_33090,Exact Synonym
maidenhair tree,Ginkgo biloba,NCBITaxon_3311,Exact Synonym
ginkgo,Ginkgo biloba,NCBITaxon_3311,Exact Synonym
winter-cherry,Physalis alkekengi,NCBITaxon_33120,Exact Synonym
Japanese lantern,Physalis alkekengi,NCBITaxon_33120,Exact Synonym
Chinese-lantern,Physalis alkekengi,NCBITaxon_33120,Exact Synonym
field poppy,Papaver rhoeas,NCBITaxon_33128,Exact Synonym
Flanders poppy,Papaver rhoeas,NCBITaxon_33128,Exact Synonym
tepary bean,Phaseolus acutifolius,NCBITaxon_33129,Exact Synonym
pine family,Pinaceae,NCBITaxon_3318,Exact Synonym
Norway spruce,Picea abies,NCBITaxon_3329,Exact Synonym
Rheum rhabarbarum,Rheum rhabarbarum [NCBITaxon:333310],NCBITaxon_333310,Exact Synonym
Pinus,Pinus <genus>,NCBITaxon_3337,Exact Synonym
rose-apple,Syzygium jambos,NCBITaxon_334483,Exact Synonym
jambos,Syzygium jambos,NCBITaxon_334483,Exact Synonym
Malabar-plum,Syzygium jambos,NCBITaxon_334483,Exact Synonym
stone pine,Pinus pinea,NCBITaxon_3346,Exact Synonym
pignolia-nut pine,Pinus pinea,NCBITaxon_3346,Exact Synonym
parasol pine,Pinus pinea,NCBITaxon_3346,Exact Synonym
Antarctic butterfish,Hyperoglyphe antarctica,NCBITaxon_334875,Exact Synonym
short mackerel,Rastrelliger brachysoma,NCBITaxon_334878,Exact Synonym
Australian bonito,Sarda australis,NCBITaxon_334879,Exact Synonym
silver moony,Monodactylus argenteus,NCBITaxon_334896,Exact Synonym
Madagascar meagre,Argyrosomus hololepidotus,NCBITaxon_334903,Exact Synonym
yellow croaker,Larimichthys polyactis,NCBITaxon_334908,Exact Synonym
geelbeck croaker,Atractoscion aequidens,NCBITaxon_334909,Exact Synonym
red gurnard,Chelidonichthys kumu,NCBITaxon_334942,Exact Synonym
bluefin gurnard,Chelidonichthys kumu,NCBITaxon_334942,Exact Synonym
red scorpion-cod,Scorpaena cardinalis,NCBITaxon_334977,Exact Synonym
red rock cod,Scorpaena cardinalis,NCBITaxon_334977,Exact Synonym
New Zealand scorpionfish,Scorpaena cardinalis,NCBITaxon_334977,Exact Synonym
New Zealand red rock cod,Scorpaena cardinalis,NCBITaxon_334977,Exact Synonym
leafscale gulper shark,Centrophorus squamosus,NCBITaxon_335027,Exact Synonym
spotted estuary smooth-hound,Mustelus lenticulatus,NCBITaxon_335034,Exact Synonym
deuterostomes,Deuterostomia,NCBITaxon_33511,Exact Synonym
carnivores,Carnivora,NCBITaxon_33554,Exact Synonym
Antarctic minke whale,Balaenoptera bonaerensis,NCBITaxon_33556,Exact Synonym
cypress family,Cupressaceae,NCBITaxon_3367,Exact Synonym
flowering plants,Magnoliophyta,NCBITaxon_3398,Exact Synonym
angiosperms,Magnoliophyta,NCBITaxon_3398,Exact Synonym
red mombin,Spondias purpurea,NCBITaxon_341683,Exact Synonym
purple mombin,Spondias purpurea,NCBITaxon_341683,Exact Synonym
ovo,Spondias purpurea,NCBITaxon_341683,Exact Synonym
jocote,Spondias purpurea,NCBITaxon_341683,Exact Synonym
dooja,Citrus australis,NCBITaxon_341934,Exact Synonym
Australian lime,Citrus australis,NCBITaxon_341934,Exact Synonym
Barbados aloe,Aloe vera,NCBITaxon_34199,Exact Synonym
babosa,Aloe vera,NCBITaxon_34199,Exact Synonym
acibar,Aloe vera,NCBITaxon_34199,Exact Synonym
aloe-vera,Aloe vera,NCBITaxon_34199,Exact Synonym
peppermint,Mentha x piperita,NCBITaxon_34256,Exact Synonym
Arabian cotton,Gossypium herbaceum,NCBITaxon_34274,Exact Synonym
laurel family,Lauraceae,NCBITaxon_3433,Exact Synonym
avocado,Persea americana,NCBITaxon_3435,Exact Synonym
buttercup family,Ranunculaceae,NCBITaxon_3440,Exact Synonym
bobtail squids,Sepiolidae,NCBITaxon_34531,Exact Synonym
black chiton,Katharina tunicata,NCBITaxon_34587,Exact Synonym
poppy family,Papaveraceae,NCBITaxon_3465,Exact Synonym
opium poppy,Papaver somniferum,NCBITaxon_3469,Exact Synonym
American shad,Alosa sapidissima,NCBITaxon_34773,Exact Synonym
alewife,Alosa pseudoharengus,NCBITaxon_34774,Exact Synonym
hop family,Cannabaceae,NCBITaxon_3481,Exact Synonym
hemp family,Cannabaceae,NCBITaxon_3481,Exact Synonym
common dolphinfish,Coryphaena hippurus,NCBITaxon_34814,Exact Synonym
striped sea-bass,Morone saxatilis,NCBITaxon_34816,Exact Synonym
striped bass,Morone saxatilis,NCBITaxon_34816,Exact Synonym
American plaice,Hippoglossoides platessoides,NCBITaxon_34817,Exact Synonym
witch,Glyptocephalus cynoglossus,NCBITaxon_34819,Exact Synonym
greysole,Glyptocephalus cynoglossus,NCBITaxon_34819,Exact Synonym
marijuana,Cannabis sativa,NCBITaxon_3483,Exact Synonym
hemp,Cannabis sativa,NCBITaxon_3483,Exact Synonym
chamois,Rupicapra rupicapra,NCBITaxon_34869,Exact Synonym
mulberry family,Moraceae,NCBITaxon_3487,Exact Synonym
broad whitefish,Coregonus nasus,NCBITaxon_348707,Exact Synonym
houting,Coregonus oxyrinchus,NCBITaxon_348708,Exact Synonym
northern sea lion,Eumetopias jubatus,NCBITaxon_34886,Exact Synonym
Steller sea lion,Eumetopias jubatus,NCBITaxon_34886,Exact Synonym
jackfruit,Artocarpus heterophyllus,NCBITaxon_3489,Exact Synonym
Prunus avium x cerasus x canescens,Prunus avium x P. cerasus x P. canescens,NCBITaxon_349168,Exact Synonym
figs,Ficus <angiosperm>,NCBITaxon_3493,Exact Synonym
fig trees,Ficus <angiosperm>,NCBITaxon_3493,Exact Synonym
Ficus,Ficus <angiosperm>,NCBITaxon_3493,Exact Synonym
Australian anchovy,Engraulis australis,NCBITaxon_349311,Exact Synonym
common fig,Ficus carica,NCBITaxon_3494,Exact Synonym
African striped grunt,Parapristipoma octolineatum,NCBITaxon_349640,Exact Synonym
hard-tail jack,Pseudocaranx dentex,NCBITaxon_349646,Exact Synonym
bullet tuna,Auxis rochei rochei,NCBITaxon_349649,Exact Synonym
Atlantic pomfret,Brama brama,NCBITaxon_349651,Exact Synonym
Angola dentex,Dentex angolensis,NCBITaxon_349652,Exact Synonym
black cardinal fish,Epigonus telescopus,NCBITaxon_349654,Exact Synonym
mulberry trees,Morus <angiosperm>,NCBITaxon_3497,Exact Synonym
mulberries,Morus <angiosperm>,NCBITaxon_3497,Exact Synonym
Morus,Morus <angiosperm>,NCBITaxon_3497,Exact Synonym
white mulberry,Morus alba,NCBITaxon_3498,Exact Synonym
true pythons,Pythonidae,NCBITaxon_34984,Exact Synonym
nettle family,Urticaceae,NCBITaxon_3499,Exact Synonym
stinging nettle,Urtica dioica,NCBITaxon_3501,Exact Synonym
great nettle,Urtica dioica,NCBITaxon_3501,Exact Synonym
beech family,Fagaceae,NCBITaxon_3503,Exact Synonym
birch famly,Betulaceae,NCBITaxon_3514,Exact Synonym
pokeweed family,Phytolaccaceae,NCBITaxon_3525,Exact Synonym
four o'clock family,Nyctaginaceae,NCBITaxon_3536,Exact Synonym
iceplant family,Aizoaceae,NCBITaxon_3542,Exact Synonym
garden beet,Beta vulgaris subsp. vulgaris,NCBITaxon_3555,Exact Synonym
Swiss chard,Beta vulgaris subsp. vulgaris,NCBITaxon_3555,Exact Synonym
field beet,Beta vulgaris subsp. vulgaris,NCBITaxon_3555,Exact Synonym
spinach chard,Beta vulgaris subsp. vulgaris,NCBITaxon_3555,Exact Synonym
sugar beet,Beta vulgaris subsp. vulgaris,NCBITaxon_3555,Exact Synonym
table beet,Beta vulgaris subsp. vulgaris,NCBITaxon_3555,Exact Synonym
scup,Stenotomus chrysops,NCBITaxon_35579,Exact Synonym
white goosefoot,Chenopodium album,NCBITaxon_3559,Exact Synonym
pigweed,Chenopodium album,NCBITaxon_3559,Exact Synonym
lamb's-quarters,Chenopodium album,NCBITaxon_3559,Exact Synonym
su da zhu mao cai,Salsola soda,NCBITaxon_355939,Exact Synonym
spinach,Spinacia oleracea,NCBITaxon_3562,Exact Synonym
goosefoot family,Amaranthaceae,NCBITaxon_3563,Exact Synonym
amaranth family,Amaranthaceae,NCBITaxon_3563,Exact Synonym
love-lies-bleeding,Amaranthus caudatus,NCBITaxon_3567,Exact Synonym
jataco,Amaranthus caudatus,NCBITaxon_3567,Exact Synonym
amaranth,Amaranthus caudatus,NCBITaxon_3567,Exact Synonym
Inca-wheat,Amaranthus caudatus,NCBITaxon_3567,Exact Synonym
pink family,Caryophyllaceae,NCBITaxon_3568,Exact Synonym
purslane family,Portulacaceae,NCBITaxon_3581,Exact Synonym
potato yam,Dioscorea bulbifera,NCBITaxon_35874,Exact Synonym
air-potato,Dioscorea bulbifera,NCBITaxon_35874,Exact Synonym
aerial yam,Dioscorea bulbifera,NCBITaxon_35874,Exact Synonym
Welsh onion,Allium fistulosum,NCBITaxon_35875,Exact Synonym
Japanese bunching onion,Allium fistulosum,NCBITaxon_35875,Exact Synonym
Ceylon-spinach,Basella alba,NCBITaxon_3589,Exact Synonym
BEP clade,BOP clade,NCBITaxon_359160,Exact Synonym
cactus family,Cactaceae,NCBITaxon_3593,Exact Synonym
sandalwoods,Santalum,NCBITaxon_35973,Exact Synonym
grape family,Vitaceae,NCBITaxon_3602,Exact Synonym
trout sweetlips,Plectorhinchus pictus,NCBITaxon_360502,Exact Synonym
buckthorn family,Rhamnaceae,NCBITaxon_3608,Exact Synonym
green ormer,Haliotis tuberculata,NCBITaxon_36103,Exact Synonym
buckwheat family,Polygonaceae,NCBITaxon_3615,Exact Synonym
common buckwheat,Fagopyrum esculentum,NCBITaxon_3617,Exact Synonym
vendace,Coregonus albula,NCBITaxon_36180,Exact Synonym
cisco,Coregonus artedi,NCBITaxon_36181,Exact Synonym
grayling,Thymallus thymallus,NCBITaxon_36185,Exact Synonym
Atlantic horse mackerel,Trachurus trachurus,NCBITaxon_36212,Exact Synonym
bogue,Boops boops,NCBITaxon_36219,Exact Synonym
Chinese gooseberry family,Actinidiaceae,NCBITaxon_3623,Exact Synonym
mallow family,Malvaceae,NCBITaxon_3629,Exact Synonym
cotton,Gossypium hirsutum,NCBITaxon_3635,Exact Synonym
American upland cotton,Gossypium hirsutum,NCBITaxon_3635,Exact Synonym
American cotton,Gossypium hirsutum,NCBITaxon_3635,Exact Synonym
Brazil nut family,Lecythidaceae,NCBITaxon_3642,Exact Synonym
Brazil nut,Bertholletia excelsa,NCBITaxon_3645,Exact Synonym
papaya family,Caricaceae,NCBITaxon_3647,Exact Synonym
papaya,Carica papaya,NCBITaxon_3649,Exact Synonym
mamon,Carica papaya,NCBITaxon_3649,Exact Synonym
cucumber family,Cucurbitaceae,NCBITaxon_3650,Exact Synonym
Japanese sardinella,Sardinella zunasi,NCBITaxon_365050,Exact Synonym
wild melon,Citrullus lanatus,NCBITaxon_3654,Exact Synonym
spot pangasius,Pangasius larnaudii,NCBITaxon_365580,Exact Synonym
giant pangasius,Pangasius sanitwongsei,NCBITaxon_365581,Exact Synonym
Paroon shark,Pangasius sanitwongsei,NCBITaxon_365581,Exact Synonym
Chao Phraya giant catfish,Pangasius sanitwongsei,NCBITaxon_365581,Exact Synonym
muskmelon,Cucumis melo,NCBITaxon_3656,Exact Synonym
Oriental melon,Cucumis melo,NCBITaxon_3656,Exact Synonym
red chokeberry,Aronia arbutifolia,NCBITaxon_36594,Exact Synonym
apricot,Prunus armeniaca,NCBITaxon_36596,Exact Synonym
rowan,Sorbus aucuparia,NCBITaxon_36599,Exact Synonym
quickbeam,Sorbus aucuparia,NCBITaxon_36599,Exact Synonym
European mountain ash,Sorbus aucuparia,NCBITaxon_36599,Exact Synonym
squashes,Cucurbita,NCBITaxon_3660,Exact Synonym
pumpkins,Cucurbita,NCBITaxon_3660,Exact Synonym
marrows,Cucurbita,NCBITaxon_3660,Exact Synonym
winter squash,Cucurbita maxima,NCBITaxon_3661,Exact Synonym
great pumpkin,Cucurbita maxima,NCBITaxon_3661,Exact Synonym
Boston marrow,Cucurbita maxima,NCBITaxon_3661,Exact Synonym
wen po,Cydonia oblonga,NCBITaxon_36610,Exact Synonym
quince,Cydonia oblonga,NCBITaxon_36610,Exact Synonym
crookneck winter squash,Cucurbita moschata,NCBITaxon_3662,Exact Synonym
lacayote,Cucurbita moschata,NCBITaxon_3662,Exact Synonym
cushaw squash,Cucurbita moschata,NCBITaxon_3662,Exact Synonym
crookneck pumpkin,Cucurbita moschata,NCBITaxon_3662,Exact Synonym
Canada pumpkin,Cucurbita moschata,NCBITaxon_3662,Exact Synonym
ayote,Cucurbita moschata,NCBITaxon_3662,Exact Synonym
vegetable sponge,Luffa aegyptiaca,NCBITaxon_3670,Exact Synonym
sponge gourd,Luffa aegyptiaca,NCBITaxon_3670,Exact Synonym
smooth loofah,Luffa aegyptiaca,NCBITaxon_3670,Exact Synonym
loofa,Luffa aegyptiaca,NCBITaxon_3670,Exact Synonym
dishcloth gourd,Luffa aegyptiaca,NCBITaxon_3670,Exact Synonym
bitter melon,Momordica charantia,NCBITaxon_3673,Exact Synonym
bitter gourd,Momordica charantia,NCBITaxon_3673,Exact Synonym
balsam pear,Momordica charantia,NCBITaxon_3673,Exact Synonym
spiny bitter cucumber,Momordica cochinchinensis,NCBITaxon_3674,Exact Synonym
passionflower famly,Passifloraceae,NCBITaxon_3683,Exact Synonym
passionflowers,Passiflora,NCBITaxon_3684,Exact Synonym
granadilla,Passiflora quadrangularis,NCBITaxon_3685,Exact Synonym
giant granadilla,Passiflora quadrangularis,NCBITaxon_3685,Exact Synonym
willow family,Salicaceae,NCBITaxon_3688,Exact Synonym
small rock oyster,Saccostrea cucullata,NCBITaxon_36930,Exact Synonym
southern blue whiting,Micromesistius australis,NCBITaxon_369968,Exact Synonym
mustard family,Brassicaceae,NCBITaxon_3700,Exact Synonym
red mullet,Mullus barbatus,NCBITaxon_37007,Exact Synonym
Sooty shearwater,Ardenna grisea,NCBITaxon_37052,Exact Synonym
brown mustard,Brassica juncea,NCBITaxon_3707,Exact Synonym
Indian mustard,Brassica juncea,NCBITaxon_3707,Exact Synonym
black mustard,Brassica nigra,NCBITaxon_3710,Exact Synonym
field mustard,Brassica rapa,NCBITaxon_3711,Exact Synonym
wild cabbage,Brassica oleracea,NCBITaxon_3712,Exact Synonym
muskox,Ovibos moschatus,NCBITaxon_37176,Exact Synonym
musk-ox,Ovibos moschatus,NCBITaxon_37176,Exact Synonym
musk ox,Ovibos moschatus,NCBITaxon_37176,Exact Synonym
white-winged scoter,Melanitta fusca,NCBITaxon_371864,Exact Synonym
velvet scoter,Melanitta fusca,NCBITaxon_371864,Exact Synonym
shepherd's purse,Capsella bursa-pastoris,NCBITaxon_3719,Exact Synonym
band-tailed pigeon,Patagioenas fasciata,NCBITaxon_372321,Exact Synonym
yellow mustard,Sinapis alba,NCBITaxon_3728,Exact Synonym
white mustard,Sinapis alba,NCBITaxon_3728,Exact Synonym
bai jie,Sinapis alba,NCBITaxon_3728,Exact Synonym
Juan Fernandez trevally,Pseudocaranx chilensis,NCBITaxon_372806,Exact Synonym
yu,Citrus maxima,NCBITaxon_37334,Exact Synonym
shaddock,Citrus maxima,NCBITaxon_37334,Exact Synonym
pummelo,Citrus maxima,NCBITaxon_37334,Exact Synonym
pomelo,Citrus maxima,NCBITaxon_37334,Exact Synonym
buntan,Citrus maxima,NCBITaxon_37334,Exact Synonym
sapodilla family,Sapotaceae,NCBITaxon_3737,Exact Synonym
Hilsa shad,Tenualosa ilisha,NCBITaxon_373995,Exact Synonym
sapote,Manilkara zapota,NCBITaxon_3741,Exact Synonym
