Ontology ID,IFSAC class,Bucket,,
FOODON_03413503,other animal,gull,other animal (gull),game
FOODON_03412695,other animal,hare,other animal (hare),
FOODON_03412092,other animal,kangaroo,other animal (kangaroo),game
FOODON_03411669,other animal,lamb,other animal (lamb),
FOODON_00002955,other animal,lemur,other animal (lemur),
NCBITaxon_9980,other animal,lepus,other animal (lepus),
FOODON_03412741,other animal,llama,other animal (llama),
FOODON_00002723,other animal,mink,other animal (mink),
FOODON_03411257,other animal,moose,other animal (moose),game
NCIT_C14238,other animal,mouse,other animal (mouse),
NCBITaxon_112137,other animal,musculus,other animal (mouse),
NCBITaxon_9655,other animal,mustelidae,other animal (mustelidae),
bto_0001762,other animal,neonate,other animal (neonate),
FOODON_00002997,wild animal,okapi,other animal (okapi),
FOODON_03411450,other animal,opossum,other animal (opossum),
FOODON_03411183,other animal,sheep,other animal (ovis aries),
NCBITaxon_9940,other animal,ovis aries,other animal (ovis aries),
FOODON_03411460,other animal,pheasant,other animal (pheasant),game
NCBITaxon_9443,other animal,primates,other animal (primates),
FOODON_03411346,other animal,quail,other animal (quail),game
FOODON_03411323,other animal,rabbit,other animal (rabbit),game
FOODON_03411461,other animal,raccoon,other animal (raccoon),
FOODON_03411509,other animal,reindeer,other animal (reindeer),game
NCBITaxon_8570,other animal,serpentes,other animal (snake),
FOODON_03411295,other animal,snake,other animal (snake),game
FOODON_03411389,other animal,squirrel,other animal (squirrel),game
FOODON_00002979,other animal,wild turkey,other animal (wild turkey),game
FOODON_03412097,other animal,zebra,other animal (zebra),
NCBITaxon_8496,other animal,alligator mississippiensis,,
NCBITaxon_9899,other animal,ammotragus lervia,,
NCBITaxon_9367,other animal,atelerix,,
NCBITaxon_8782,other animal,aves,,
NCBITaxon_124943,other animal,azadirachta indica,,
NCBITaxon_9904,other animal,bos gaurus,,
NCBITaxon_9906,other animal,bos javanicus,,
NCBITaxon_9909,other animal,bos primigenius,,
NCBITaxon_8852,other animal,branta,,
NCBITaxon_8853,other animal,branta canadensis,,
NCBITaxon_9835,other animal,camelidae,,
NCBITaxon_9836,other animal,camelus,,
NCBITaxon_9922,other animal,capra,,
NCBITaxon_9923,other animal,capra aegagrus,,
NCBITaxon_9925,other animal,capra hircus,,
NCBITaxon_9963,other animal,caprinae,,
NCBITaxon_10184,other animal,castor,,
NCBITaxon_10141,other animal,cavia porcellus,,
NCBITaxon_9850,other animal,cervidae,,
NCBITaxon_1574408,other animal,cervus canadensis,,
NCBITaxon_9863,other animal,cervus nippon,,
NCBITaxon_8475,other animal,chelydra serpentina,,
NCBITaxon_8859,other animal,chloephaga,,
NCBITaxon_60711,other animal,chlorocebus sabaeus,,
NCBITaxon_134415,other animal,cicada,,
NCBITaxon_9014,other animal,colinus virginianus,,
NCBITaxon_8930,other animal,columbidae,,
NCBITaxon_34814,other animal,coryphaena hippurus,,
NCBITaxon_9090,other animal,coturnix,,
NCBITaxon_8728,other animal,crotalus,,
NCBITaxon_59546,other animal,damaliscus lunatus jimela,,
NCBITaxon_37172,other animal,damaliscus pygargus phillipsi,,
NCBITaxon_9726,other animal,delphinidae,,
NCBITaxon_8790,other animal,dromaius novaehollandiae,,
NCBITaxon_176024,other animal,eclectus roratus,,
NCBITaxon_94231,fish,epinephelus,,
NCBITaxon_9789,other animal,equus,,
NCBITaxon_9793,other animal,equus asinus,,
NCBITaxon_9796,other animal,equus caballus,,
NCBITaxon_9791,other animal,equus zebra,,
NCBITaxon_30577,other animal,erinaceinae,,
NCBITaxon_forma,other animal,forma,,
NCBITaxon_9933,other animal,gazella,,
NCBITaxon_36310,other animal,gekko gecko,,
NCBITaxon_3311,plant,ginkgo biloba,,
NCBITaxon_4231,plant,helianthus,,
NCBITaxon_37184,other animal,hippotragus,,
NCBITaxon_37965,other animal,hybrid,,
NCBITaxon_7997,other animal,ictalurus,,
NCBITaxon_8515,mollusks (non-bi-valve),iguanidae,,
NCBITaxon_6627,mollusks (non-bi-valve),illex,,
NCBITaxon_84645,fish,labeo rohita,,
NCBITaxon_9844,other animal,lama glama,,
NCBITaxon_8910,other animal,laridae,,
NCBITaxon_9980,other animal,lepus,,
NCBITaxon_690715,other animal,leucophaeus pipixcan,,
NCBITaxon_1637,other animal,listeria,,
NCBITaxon_54600,other animal,macaca nigra,,
NCBITaxon_4329,plant,macadamia,,
NCBITaxon_9312,other animal,macropus,,
NCBITaxon_3750,pome fruit,malus domestica,,
NCBITaxon_6595,mollusks (bi-valve),mercenaria,,
NCBITaxon_8062,fish,merluccius,,
NCBITaxon_8190,fish,mugil,,
NCBITaxon_10090,other animal,mus musculus,,
NCBITaxon_7370,other animal,musca domestica,,
NCBITaxon_9668,other animal,mustela putorius,,
NCBITaxon_9655,other animal,mustelidae,,
NCBITaxon_51088,herb,myristica,,
NCBITaxon_75027,other animal,naso,,
NCBITaxon_452646,other animal,neovison vison,,American mink
NCBITaxon_9872,other animal,odocoileus hemionus,,Mule deer
NCBITaxon_9874,other animal,odocoileus virginianus,,white tailed deer
NCBITaxon_8019,fish,oncorhynchus kisutch,,
NCBITaxon_8022,fish,oncorhynchus mykiss,,
NCBITaxon_39174,herb,origanum,,
NCBITaxon_9986,other animal,oryctolagus cuniculus,,European rabbit
NCBITaxon_9957,other animal,oryx,,
NCBITaxon_9935,other animal,ovis,,
NCBITaxon_9940,other animal,ovis aries,,
NCBITaxon_1227137,fish,pachypterus atherinoides,,
NCBITaxon_8000,fish,pangasius,,
NCBITaxon_29064,other animal,panthera uncia,,snow leapard
NCBITaxon_35609,pig,pecari,,pig
NCBITaxon_9054,other animal,phasianus colchicus,,ring-necked pheasant
NCBITaxon_511552,herb,piper sanctum,,mexican pepperleaf
NCBITaxon_103695,wild animal,pogona vitticeps,,central bearded dragon
NCBITaxon_9443,other animal,primates,,primate
NCBITaxon_57247,other animal,psittacus erithacus,,grey parrot
NCBITaxon_9696,other animal,puma concolor,,cougar
NCBITaxon_27707,fish,puntius,,fish
NCBITaxon_37579,other animal,python,,python
NCBITaxon_34984,other animal,pythonidae,,python family
NCBITaxon_10114,other animal,rattus,,rat
NCBITaxon_8797,other animal,rhea americana,,greater rhea
NCBITaxon_3620,clinical/research,rheum,,nose fluid
NCBITaxon_9989,other animal,rodentia,,rodent
