Bucket,Ontology ID,IFSAC class,,,,,,,,
cavia porcellus,NCBITaxon_10141,other animal,,,,,,,,
cervidae,NCBITaxon_9850,other animal,,,,,,,,
cervus canadensis,NCBITaxon_1574408,other animal,,,,,,,,
cervus nippon,NCBITaxon_9863,other animal,,,,,,,,
chelydra serpentina,NCBITaxon_8475,other animal,,,,,,,,
chloephaga,NCBITaxon_8859,other animal,,,,,,,,
chlorocebus sabaeus,NCBITaxon_60711,other animal,,,,,,,,
cicada,NCBITaxon_134415,other animal,,,,,,,,
colinus virginianus,NCBITaxon_9014,other animal,,,,,,,,
columbidae,NCBITaxon_8930,other animal,,,,,,,,
coryphaena hippurus,NCBITaxon_34814,other animal,,,,,,,,
coturnix,NCBITaxon_9090,other animal,,,,,,,,
crotalus,NCBITaxon_8728,other animal,,,,,,,,
damaliscus lunatus jimela,NCBITaxon_59546,other animal,,,,,,,,
damaliscus pygargus phillipsi,NCBITaxon_37172,other animal,,,,,,,,
delphinidae,NCBITaxon_9726,other animal,,,,,,,,
dromaius novaehollandiae,NCBITaxon_8790,other animal,,,,,,,,
eclectus roratus,NCBITaxon_176024,other animal,,,,,,,,
epinephelus,NCBITaxon_94231,fish,,,,,,,,
equus,NCBITaxon_9789,other animal,,,,,,,,
equus asinus,NCBITaxon_9793,other animal,,,,,,,,
equus caballus,NCBITaxon_9796,other animal,,,,,,,,
equus zebra,NCBITaxon_9791,other animal,,,,,,,,
erinaceinae,NCBITaxon_30577,other animal,,,,,,,,
forma,NCBITaxon_forma,other animal,,,,,,,,
gazella,NCBITaxon_9933,other animal,,,,,,,,
gekko gecko,NCBITaxon_36310,other animal,,,,,,,,
ginkgo biloba,NCBITaxon_3311,plant,,,,,,,,
helianthus,NCBITaxon_4231,plant,,,,,,,,
hippotragus,NCBITaxon_37184,other animal,,,,,,,,
hybrid,NCBITaxon_37965,other animal,,,,,,,,
ictalurus,NCBITaxon_7997,other animal,,,,,,,,
iguanidae,NCBITaxon_8515,mollusks (non-bi-valve),,,,,,,,
illex,NCBITaxon_6627,mollusks (non-bi-valve),,,,,,,,
