Term,Expansion,
double chin,[BodyPart-OR-OrganicPart],
duff,[BodyPart-OR-OrganicPart],
duodenum,[BodyPart-OR-OrganicPart],
ear lobe,[BodyPart-OR-OrganicPart],
eardrum,[BodyPart-OR-OrganicPart],
effector,[BodyPart-OR-OrganicPart],
endoskeleton,[BodyPart-OR-OrganicPart],
entrails,[BodyPart-OR-OrganicPart],
epidermis,[BodyPart-OR-OrganicPart],
epiglottis,[BodyPart-OR-OrganicPart],
ermine,[BodyPart-OR-OrganicPart],
erythrocyte,[BodyPart-OR-OrganicPart],
esophagus,[BodyPart-OR-OrganicPart],
Eustachian tube,[BodyPart-OR-OrganicPart],
extensor,[BodyPart-OR-OrganicPart],
external ear,[BodyPart-OR-OrganicPart],
eyelash,[BodyPart-OR-OrganicPart],
eyelid,[BodyPart-OR-OrganicPart],
false rib,[BodyPart-OR-OrganicPart],
false teeth,[BodyPart-OR-OrganicPart],
fang,[BodyPart-OR-OrganicPart],
feather,[BodyPart-OR-OrganicPart],
femur,[BodyPart-OR-OrganicPart],
fibroid,[BodyPart-OR-OrganicPart],
fibula,[BodyPart-OR-OrganicPart],
first finger,[BodyPart-OR-OrganicPart],
fist,[BodyPart-OR-OrganicPart],
flab,[BodyPart-OR-OrganicPart],
flexor,[BodyPart-OR-OrganicPart],
floating rib,[BodyPart-OR-OrganicPart],
foot,[BodyPart-OR-OrganicPart],
forearm,[BodyPart-OR-OrganicPart],
forebrain,[BodyPart-OR-OrganicPart],
forefinger,[BodyPart-OR-OrganicPart],
forefoot,[BodyPart-OR-OrganicPart],
forehead,[BodyPart-OR-OrganicPart],
foreleg,[BodyPart-OR-OrganicPart],
foreskin,[BodyPart-OR-OrganicPart],
frenulum,[BodyPart-OR-OrganicPart],
frontal lobe,[BodyPart-OR-OrganicPart],
funny bone,[BodyPart-OR-OrganicPart],
gall bladder,[BodyPart-OR-OrganicPart],
gamete,[BodyPart-OR-OrganicPart],
gene,[BodyPart-OR-OrganicPart],
genitals,[BodyPart-OR-OrganicPart],
genome,[BodyPart-OR-OrganicPart],
genotype,[BodyPart-OR-OrganicPart],
gigot,[BodyPart-OR-OrganicPart],
gizzard,[BodyPart-OR-OrganicPart],
gland,[BodyPart-OR-OrganicPart],
glottis,[BodyPart-OR-OrganicPart],
glutes,[BodyPart-OR-OrganicPart],
gluteus,[BodyPart-OR-OrganicPart],
gnashers,[BodyPart-OR-OrganicPart],
goatee,[BodyPart-OR-OrganicPart],
goolie,[BodyPart-OR-OrganicPart],
gore,[BodyPart-OR-OrganicPart],
